Date,Open,High,Low,Close,Adj Close,Volume
2010-07-08,16391.679688,17098.240234,16294.400391,16537.599609,16093.863281,1500
2010-07-09,16535.039063,17139.199219,16012.799805,16012.799805,15583.144531,1400
2010-07-12,16058.879883,16212.480469,15605.759766,15874.559570,15448.613281,1100
2010-07-13,15472.639648,15831.040039,15101.440430,15329.280273,14917.963867,1400
2010-07-14,15211.519531,15375.360352,14801.919922,15027.200195,14623.990234,1300
2010-07-15,15144.959961,15592.959961,14863.360352,14947.839844,14546.758789,1400
2010-07-16,15183.360352,16281.599609,15104.000000,16151.040039,15717.673828,2200
2010-07-19,16084.480469,16494.080078,15718.400391,15823.360352,15398.788086,2200
2010-07-20,16586.240234,16724.480469,15219.200195,15219.200195,14810.837891,2000
2010-07-21,14766.080078,15943.679688,14745.599609,15841.280273,15416.225586,1600
2010-07-22,15221.759766,15226.879883,14456.320313,14766.080078,14369.876953,1500
2010-07-23,14952.959961,15045.120117,14351.360352,14382.080078,13996.179688,2000
2010-07-26,14336.000000,14528.000000,14016.000000,14054.400391,13677.291992,700
2010-07-27,13826.559570,14236.160156,13793.280273,14016.000000,13639.921875,1100
2010-07-28,14100.480469,14530.559570,13908.480469,14330.879883,13946.353516,800
2010-07-29,14149.120117,15124.480469,14059.519531,14696.959961,14302.611328,2000
2010-07-30,15060.480469,15324.160156,14336.000000,14586.879883,14195.483398,2700
2010-08-02,14074.879883,14225.919922,13675.519531,13798.400391,13428.160156,1700
2010-08-03,13831.679688,14146.559570,13790.719727,13964.799805,13590.096680,1000
2010-08-04,13757.440430,13934.080078,13493.759766,13557.759766,13193.976563,800
2010-08-05,13736.959961,13888.000000,13565.440430,13608.959961,13243.802734,800
2010-08-06,14090.240234,14300.160156,13583.360352,13670.400391,13303.595703,1400
2010-08-09,13486.080078,13742.080078,13312.000000,13742.080078,13373.351563,600
2010-08-10,13744.639648,14080.000000,13537.280273,13701.120117,13333.492188,1200
2010-08-11,14453.759766,15032.320313,14430.719727,14842.879883,14444.614258,1300
2010-08-12,15713.280273,15808.000000,15042.559570,15211.519531,14803.364258,1600
2010-08-13,15400.959961,15557.120117,15211.519531,15557.120117,15139.691406,900
2010-08-16,15800.320313,15989.759766,15150.080078,15464.959961,15050.002930,1100
2010-08-17,15152.639648,15216.639648,14464.000000,14842.879883,14444.614258,1100
2010-08-18,14970.879883,15119.360352,14425.599609,14668.799805,14275.205078,900
2010-08-19,14950.400391,15651.839844,14796.799805,15311.360352,14900.525391,1700
2010-08-20,15413.759766,15680.000000,15211.519531,15326.719727,14915.471680,1100
2010-08-23,14973.440430,15759.360352,14876.160156,15754.240234,15331.521484,1000
2010-08-24,16261.120117,16819.199219,16133.120117,16629.759766,16183.549805,1900
2010-08-25,16965.119141,17049.599609,15938.559570,16181.759766,15747.570313,1800
2010-08-26,15974.400391,16768.000000,15872.000000,16742.400391,16293.166016,1700
2010-08-27,16376.320313,17405.439453,16020.480469,16058.879883,15627.987305,2600
